,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-11-11 00:00:00+00:00,504.73449458594644,1477.4883337120077,1282.038535379849,973.4135718058778,1193.3261516226955
2023-11-12 00:00:00+00:00,525.2641279453175,1530.9074092357257,1328.883897330057,1023.6777456982855,1252.1658712801748
2023-11-13 00:00:00+00:00,525.2641279453175,1530.9074092357257,1328.883897330057,1023.6777456982855,1252.1658712801748
2023-11-14 00:00:00+00:00,530.7037968327149,1545.1977987663383,1341.3699496963297,1034.0959094809705,1260.9612757693435
2023-11-15 00:00:00+00:00,529.346307262447,1541.6627425864976,1338.270858079763,1030.297586491747,1257.741774662343
2023-11-16 00:00:00+00:00,505.7261463908595,1480.048459648281,1284.2904077150686,1009.2947609412752,1218.4415172636159
2023-11-17 00:00:00+00:00,505.62163114656744,1479.7758315975002,1284.0515558906752,1009.0486919082864,1218.2435512593056
2023-11-18 00:00:00+00:00,516.8556316216022,1509.0252521217697,1309.6955015463002,1034.7825763906558,1246.725230577568
2023-11-19 00:00:00+00:00,516.8556316216022,1509.0252521217697,1309.6955015463002,1034.7825763906558,1246.725230577568
2023-11-20 00:00:00+00:00,516.8556316216022,1509.0252521217697,1309.6955015463002,1034.7825763906558,1246.725230577568
2023-11-21 00:00:00+00:00,513.0369416718628,1499.0348387866875,1300.9526610265193,1027.5901414418922,1239.6458998875544
2023-11-22 00:00:00+00:00,509.7344066811554,1490.3947842012167,1293.3915505109305,1021.3698752251237,1233.5234501411028
2023-11-23 00:00:00+00:00,504.63407404117487,1477.0685134338448,1281.7236845346683,1012.2595101084582,1224.4307589738846
2023-11-24 00:00:00+00:00,504.63407404117487,1477.0685134338448,1281.7236845346683,1012.2595101084582,1224.4307589738846
2023-11-25 00:00:00+00:00,504.4912697092768,1476.696765276764,1281.3977387995833,1011.958752130607,1224.0392418393178
2023-11-26 00:00:00+00:00,526.061103076971,1532.893726463758,1330.6551835448086,1052.0764992550125,1275.94239732549
2023-11-27 00:00:00+00:00,526.061103076971,1532.893726463758,1330.6551835448086,1052.0764992550125,1275.94239732549
2023-11-28 00:00:00+00:00,526.9182879025157,1535.1362836821927,1332.6176969523779,1053.6909917060739,1277.531501160146
2023-11-29 00:00:00+00:00,526.9182879025157,1535.1362836821927,1332.6176969523779,1053.6909917060739,1277.531501160146
2023-11-30 00:00:00+00:00,531.220962486238,1546.3842372582214,1342.4639345813896,1061.2126307386804,1285.1219684582034
2023-12-01 00:00:00+00:00,517.6114913399023,1510.8827228159905,1311.3611507038688,1036.1162101806892,1255.8007536950472
2023-12-02 00:00:00+00:00,525.4799907847417,1531.4451112091422,1329.3634925725196,1050.4381437456764,1270.7373323980528
2023-12-03 00:00:00+00:00,566.6423877922726,1638.631170612334,1423.3325510728976,1126.5145037505051,1371.372559668953
2023-12-04 00:00:00+00:00,568.827673702822,1644.3276980265364,1428.3246004732832,1130.5567884467441,1376.3907305814262
2023-12-05 00:00:00+00:00,568.827673702822,1644.3276980265364,1428.3246004732832,1130.5567884467441,1376.3907305814262
2023-12-06 00:00:00+00:00,568.827673702822,1644.3276980265364,1428.3246004732832,1130.5567884467441,1376.3907305814262
2023-12-07 00:00:00+00:00,568.827673702822,1644.3276980265364,1428.3246004732832,1130.5567884467441,1376.3907305814262
2023-12-08 00:00:00+00:00,568.827673702822,1644.3276980265364,1428.3246004732832,1130.5567884467441,1376.3907305814262
2023-12-09 00:00:00+00:00,592.6280143083832,1706.384252680185,1482.7018282484005,1174.3053521067607,1429.7496896676196
2023-12-10 00:00:00+00:00,595.2105652682184,1713.1209109047625,1488.6038489981975,1179.0602134771075,1435.383789423671
2023-12-11 00:00:00+00:00,594.3717253758567,1710.9327729946617,1486.6868101759346,1177.5157841658845,1433.5537741765672
2023-12-12 00:00:00+00:00,594.3717253758567,1710.9327729946617,1486.6868101759346,1177.5157841658845,1433.5537741765672
2023-12-13 00:00:00+00:00,597.298138960119,1718.5644667952981,1493.3736268851164,1182.8986918912356,1440.0400574113105
2023-12-14 00:00:00+00:00,593.9634440599111,1709.8680301283166,1485.753892716764,1176.764782782642,1432.6488343317963
2023-12-15 00:00:00+00:00,608.2004558278182,1746.9983936361853,1518.2864394586597,1202.9582687711913,1464.0917128354629
2023-12-16 00:00:00+00:00,594.1696240454755,1710.4059030610783,1486.2251103389663,1177.1444987161035,1433.0961692365954
2023-12-17 00:00:00+00:00,594.1696240454755,1710.4059030610783,1486.2251103389663,1177.1444987161035,1433.0961692365954
2023-12-18 00:00:00+00:00,617.0495665250043,1770.077173630584,1538.5073455651136,1219.2393893101598,1483.6272261242757
2023-12-19 00:00:00+00:00,617.0495665250043,1770.077173630584,1538.5073455651136,1219.2393893101598,1483.6272261242757
2023-12-20 00:00:00+00:00,606.6703326370384,1743.0081271503348,1514.7901763459527,1200.1439562000123,1460.6955458039781
2023-12-21 00:00:00+00:00,606.6703326370384,1743.0081271503348,1514.7901763459527,1200.1439562000123,1460.6955458039781
2023-12-22 00:00:00+00:00,663.6287392383263,1891.5574246837405,1644.9444819722241,1304.9390977312567,1586.4464988454565
2023-12-23 00:00:00+00:00,683.5301292631285,1943.4600605501548,1690.4202395440527,1341.5526699971365,1630.426736748721
2023-12-24 00:00:00+00:00,703.0693045402891,1994.418564040537,1735.068598017982,1377.5011868900979,1673.5791142492303
2023-12-25 00:00:00+00:00,703.0693045402891,1994.418564040537,1735.068598017982,1377.5011868900979,1673.5791142492303
2023-12-26 00:00:00+00:00,703.0693045402891,1994.418564040537,1735.068598017982,1377.5011868900979,1673.5791142492303
2023-12-27 00:00:00+00:00,704.5455325552831,1998.26859681959,1738.4418831205783,1380.217187859322,1676.8391139183502
2023-12-28 00:00:00+00:00,725.196679638335,2052.1271435606495,1785.6311745462797,1418.211535020359,1722.4471959989387
2023-12-29 00:00:00+00:00,725.196679638335,2052.1271435606495,1785.6311745462797,1418.211535020359,1722.4471959989387
2023-12-30 00:00:00+00:00,725.196679638335,2052.1271435606495,1785.6311745462797,1418.211535020359,1722.4471959989387
2023-12-31 00:00:00+00:00,733.6487801196054,2074.1703676256693,1804.944805817042,1433.7618610757352,1741.1136348514012
2024-01-01 00:00:00+00:00,733.6487801196054,2074.1703676256693,1804.944805817042,1433.7618610757352,1741.1136348514012
2024-01-02 00:00:00+00:00,710.8855132675884,2014.8033743469532,1752.9291744482307,1391.8815942355088,1690.8410324615375
2024-01-03 00:00:00+00:00,711.9636896251365,2017.6152768072363,1755.3928815678696,1393.8652421959728,1693.2221873641095
2024-01-04 00:00:00+00:00,711.9636896251365,2017.6152768072363,1755.3928815678696,1393.8652421959728,1693.2221873641095
2024-01-05 00:00:00+00:00,697.4727570697578,1979.822674118063,1722.2801032797022,1367.2045640066394,1661.219019282341
2024-01-06 00:00:00+00:00,697.4727570697578,1979.822674118063,1722.2801032797022,1367.2045640066394,1661.219019282341
2024-01-07 00:00:00+00:00,697.4727570697578,1979.822674118063,1722.2801032797022,1367.2045640066394,1661.219019282341
2024-01-08 00:00:00+00:00,679.7163389548136,1933.5136303842728,1681.705466680532,1334.5359907253794,1622.003945312387
2024-01-09 00:00:00+00:00,679.7163389548136,1933.5136303842728,1681.705466680532,1334.5359907253794,1622.003945312387
2024-01-10 00:00:00+00:00,678.3946739757496,1930.0667053417915,1678.6853712763268,1332.1043679148613,1619.0850492191064
2024-01-11 00:00:00+00:00,680.262999924343,1934.9393316523579,1682.9546246256011,1335.5417474177204,1623.2112435928855
2024-01-12 00:00:00+00:00,680.262999924343,1934.9393316523579,1682.9546246256011,1335.5417474177204,1623.2112435928855
