date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2025-01-30 00:00:00+00:00,471777.69159682275,225046.93015850562,225046.93015850562,246730.76143831713,5,10,positive_momentum_correction,0.026370131518114848,1357504.438206722,-0.6524669251026198
2025-01-31 00:00:00+00:00,466197.14059611264,138526.95649514918,138526.95649514918,327670.18410096347,8,7,positive_momentum_correction,-0.011828772534414833,1357504.438206722,-0.6565778147937666
2025-02-01 00:00:00+00:00,448222.61552445387,209105.8296922459,209105.8296922459,239116.78583220797,9,7,positive_momentum_correction,-0.038555631312271244,1357504.438206722,-0.6698186739510328
2025-02-02 00:00:00+00:00,426306.96549272677,88877.83901754406,44822.26155244495,337429.1264751827,14,1,positive_momentum_correction,-0.0488945654963977,1357504.438206722,-0.6859627464232214
2025-02-03 00:00:00+00:00,451198.02460866794,44055.57746509867,-4.3655745685100555e-10,407142.4471435693,15,0,positive_momentum_correction,0.05838764348401404,1357504.438206722,-0.6676268512206815
2025-02-04 00:00:00+00:00,431042.6555089924,44055.57746509867,43104.2655508988,386987.0780438937,15,1,positive_momentum_correction,-0.04467078311603134,1357504.438206722,-0.6824742200633949
2025-02-05 00:00:00+00:00,422477.0570314261,128089.22380325923,85351.97125404142,294387.8332281669,12,2,positive_momentum_correction,-0.019871811682887097,1357504.438206722,-0.6887840325667569
2025-02-06 00:00:00+00:00,414325.87775009795,180673.11753505748,42247.70570314218,233652.76021504047,8,1,positive_momentum_correction,-0.019293779734698924,1357504.438206722,-0.6947885648923351
2025-02-07 00:00:00+00:00,410338.83385096816,327842.0431455498,42247.70570314218,82496.79070541839,2,1,positive_momentum_correction,-0.009622966155965251,1357504.438206722,-0.6977256042027897
2025-02-08 00:00:00+00:00,409742.64059470996,369807.2841732158,204871.3202973545,39935.356421494136,1,5,positive_momentum_correction,-0.001452929157747529,1357504.438206722,-0.6981647874860841
2025-02-09 00:00:00+00:00,407729.3158265285,369807.2841732158,163897.05623788352,37922.031653312675,1,4,positive_momentum_correction,-0.0049136325310426,1357504.438206722,-0.6996478948053066
2025-02-10 00:00:00+00:00,408431.3303838549,369807.2841732158,204609.0582551835,38624.046210639106,1,5,positive_momentum_correction,0.0017217662063453432,1357504.438206722,-0.6991307587005777
2025-02-11 00:00:00+00:00,408373.41362656205,408373.41362656205,245029.83985166607,0.0,0,6,positive_momentum_correction,-0.00014180292495791225,1357504.438206722,-0.6991734228390238
2025-02-12 00:00:00+00:00,413201.7315436248,326692.93922552036,205152.37039669312,86508.79231810443,2,5,positive_momentum_correction,0.011823291516910528,1357504.438206722,-0.6956166625212152
2025-02-13 00:00:00+00:00,416097.30886662507,244535.42470850167,164604.58676633693,171561.8841581234,4,4,positive_momentum_correction,0.007007660186183484,1357504.438206722,-0.6934836475258275
2025-02-14 00:00:00+00:00,425271.7572993911,244535.42470850167,210511.43123084184,180736.3325908894,4,5,positive_momentum_correction,0.02204880502052653,1357504.438206722,-0.6867253282345216
2025-02-15 00:00:00+00:00,430799.4651941875,244535.42470850167,169744.02886595903,186264.04048568578,4,4,positive_momentum_correction,0.012998060181327542,1357504.438206722,-0.6826533651976282
2025-02-16 00:00:00+00:00,425872.2714198432,244535.42470850167,128194.34939134173,181336.84671134152,4,3,positive_momentum_correction,-0.01143732565248956,1357504.438206722,-0.6862829620045847
2025-02-17 00:00:00+00:00,423922.46381210757,327710.8092051551,255236.15918624564,96211.65460695246,2,6,positive_momentum_correction,-0.004578385911895633,1357504.438206722,-0.6877192796716645
2025-02-18 00:00:00+00:00,423765.2205611069,338801.62151358294,169537.53687464245,84963.59904752395,2,4,positive_momentum_correction,-0.0003709245544258888,1357504.438206722,-0.6878351122587081
2025-02-19 00:00:00+00:00,426637.1276251203,338801.62151358294,169537.53687464245,87835.50611153732,2,4,positive_momentum_correction,0.006777118377507829,1357504.438206722,-0.6857195338611839
2025-02-20 00:00:00+00:00,423755.26625266497,338801.62151358294,211879.62398802044,84953.64473908202,2,5,positive_momentum_correction,-0.006754830242968413,1357504.438206722,-0.6878424450586326
2025-02-21 00:00:00+00:00,420909.6492543379,254050.56826304997,210739.3863270012,166859.08099128792,4,5,positive_momentum_correction,-0.006715236894850429,1357504.438206722,-0.6899386569885811
