symbol,trades,pnl,mean_return,hit_rate
RUNEUSDT,27,-21523.235209291204,-0.006868498343758896,0.4074074074074074
ARPAUSDT,5,-22031.933252033752,-0.1034923654025327,0.4
ACHUSDT,6,-22093.390927875364,-0.04699137693184093,0.3333333333333333
SPELLUSDT,1,-22251.1362338763,-0.234801595688684,0.0
HOOKUSDT,3,-22668.224388539416,-0.12852149521449366,0.0
TLMUSDT,3,-23055.193658342658,-0.11777603052124745,0.3333333333333333
OGNUSDT,12,-23198.558776972346,-0.030903437118888363,0.3333333333333333
REZUSDT,1,-23446.41850570412,-0.1812430010946545,0.0
TUTUSDT,1,-24304.60789916517,-0.5776588182186327,0.0
OGUSDT,5,-24354.904639997614,-0.045956467667671794,0.4
API3USDT,2,-24437.906260632284,-0.11181300528411975,0.5
ALGOUSDT,22,-24518.826287723154,-0.044832632353283726,0.2727272727272727
BOMEUSDT,7,-25442.14433461791,-0.036303077809803984,0.5714285714285714
STOUSDT,1,-26518.32213681261,-0.5880464620808962,0.0
LINAUSDT,4,-27075.61743563749,-0.09477602901446434,0.0
DYDXUSDT,21,-27256.9368277139,-0.0023338582992787006,0.42857142857142855
SLPUSDT,5,-29363.1809634453,-0.04649216267925984,0.2
WAVESUSDT,26,-30015.62589459853,0.030571217566609903,0.4230769230769231
SRMUSDT,5,-30223.648094570428,-0.0644749729358401,0.4
ORDIUSDT,7,-30521.574826451826,-0.0451029099705755,0.2857142857142857
STORJUSDT,4,-30862.07841552667,-0.059439561757192956,0.5
ROSEUSDT,11,-31000.785294544403,-0.005282911773704075,0.2727272727272727
BTCUSDT,80,-31890.83726895349,0.008136736392395878,0.5375
WCTUSDT,2,-33189.3718842077,-0.1938375098888471,0.5
SUSDT,3,-33993.295896302414,-0.1457989583116683,0.0
DUSKUSDT,4,-34712.1071962463,-0.03259756250812117,0.5
OMGUSDT,10,-35084.840753651384,-0.0643044069498939,0.2
DARUSDT,6,-35686.11324677686,-0.08726286895368983,0.3333333333333333
FTTUSDT,8,-38116.2039691533,-0.03825673557297151,0.5
BSWUSDT,2,-38979.68092657601,-0.20248798075419105,0.0
ENAUSDT,15,-40867.003754621925,-0.02255106459207961,0.26666666666666666
PENDLEUSDT,12,-43931.76759369899,-0.0434462429221664,0.16666666666666666
ALPINEUSDT,1,-44865.07185212516,-0.7522854312319611,0.0
IOSTUSDT,12,-45890.95752830258,-0.09028827456393936,0.3333333333333333
YFIUSDT,8,-48395.18686820176,-0.10657945031637123,0.375
BONDUSDT,2,-49118.512200220124,-0.41773053583123865,0.0
USUALUSDT,3,-49557.332423898435,-0.15987259425463704,0.3333333333333333
OMUSDT,8,-49924.96992825874,-0.08314495598129973,0.5
APTUSDT,15,-50415.65545590766,-0.05338901552952952,0.3333333333333333
BANANAS31USDT,2,-50526.364088592665,-0.3901439416728557,0.0
LTCUSDT,62,-50679.010884132775,0.0025974395532503583,0.5
YGGUSDT,5,-51019.20971512969,-0.10650336635185369,0.2
LEVERUSDT,3,-52618.491473911316,-0.28351038627922415,0.0
