date,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-11-16 00:00:00+00:00,618775.3164767618,1613995.2185387341,1414062.3221589816,1137866.7369133602,1353428.0131264934
2023-11-17 00:00:00+00:00,615373.6363768687,1605142.4337514213,1406299.443894525,1132055.5061899605,1344300.8465725053
2023-11-18 00:00:00+00:00,614560.041289509,1603017.23837502,1404438.5251956694,1132129.0453542997,1343483.1980505781
2023-11-19 00:00:00+00:00,620372.7164274699,1618212.9597282931,1417740.4410828261,1142467.096839798,1353846.8477276454
2023-11-20 00:00:00+00:00,610350.6895256322,1592013.5558767319,1394806.014333853,1123894.6420715002,1335704.470849915
2023-11-21 00:00:00+00:00,574422.7636842654,1498275.1076744597,1312687.7951466837,1058458.7878143562,1260129.1401316868
2023-11-22 00:00:00+00:00,619105.5408555621,1614781.4466932674,1414776.355354536,1138510.3819154622,1358493.4022134186
2023-11-23 00:00:00+00:00,613437.8405066861,1600008.8163520466,1401830.044220232,1128650.1069567248,1345595.880387533
2023-11-24 00:00:00+00:00,620150.3014762732,1617502.839758576,1417161.8881896553,1141113.0081713004,1361447.422135684
2023-11-25 00:00:00+00:00,628566.4005277152,1639442.6626632044,1436388.1124634517,1156784.1905275066,1380845.8839393803
2023-11-26 00:00:00+00:00,627804.9325174515,1637461.989913727,1434650.943673574,1155356.540269487,1378872.2380874038
2023-11-27 00:00:00+00:00,620826.6647170493,1619254.545003374,1418700.7950627122,1142338.442926236,1363832.079169865
2023-11-28 00:00:00+00:00,655920.6727608232,1710767.899373018,1498886.3008066947,1206128.5355298067,1441211.6660859557
2023-11-29 00:00:00+00:00,638390.0491714701,1665027.7617385949,1458816.8229275593,1174103.3732077102,1403937.8973169522
2023-11-30 00:00:00+00:00,642527.2191269163,1675810.7348611897,1468266.8440575264,1181739.1944209808,1413559.4333030875
2023-12-01 00:00:00+00:00,661969.0962699993,1726472.7629838267,1512669.7717836588,1217866.3638433772,1459337.720981468
2023-12-02 00:00:00+00:00,670738.29977565,1749307.7714664317,1532688.9595107874,1234089.541678432,1480801.2551541044
2023-12-03 00:00:00+00:00,668873.0221376161,1744445.910751359,1528428.1940697306,1230640.67279483,1476494.8662440972
2023-12-04 00:00:00+00:00,678274.4785433233,1768960.4073706712,1549908.6471931362,1247924.8790919813,1497502.2078536875
2023-12-05 00:00:00+00:00,689340.7592874388,1797825.6268434164,1575198.1138790043,1268295.5895169773,1521722.7243638947
2023-12-06 00:00:00+00:00,676743.5570502644,1764966.817443695,1546409.888678813,1245105.710935006,1494169.3187409723
2023-12-07 00:00:00+00:00,680804.2236201069,1775555.5941873484,1555687.9738394958,1252572.6990388297,1503216.853277579
2023-12-08 00:00:00+00:00,702365.2838547932,1831782.1673639675,1604953.7529207007,1292227.8219990772,1551099.4022067385
2023-12-09 00:00:00+00:00,693695.5681710823,1809169.580659551,1585141.8727519326,1276272.397706882,1532048.0044627683
2023-12-10 00:00:00+00:00,700211.9353745936,1826163.4717269465,1600031.7297808644,1288258.953882428,1546487.0719397657
2023-12-11 00:00:00+00:00,688473.1804957611,1795549.943005364,1573208.5952028497,1266665.3026746952,1520491.2620078677
2023-12-12 00:00:00+00:00,694665.7292528811,1811699.7512130088,1587358.7433662482,1278057.2439199411,1534191.9778669346
2023-12-13 00:00:00+00:00,731819.2660936288,1908596.6422241013,1672257.0373804686,1346412.5353824766,1616254.6568258358
2023-12-14 00:00:00+00:00,743235.6435361998,1938370.7496475733,1698344.2443382028,1367416.5861322149,1641467.807033083
2023-12-15 00:00:00+00:00,709929.7593989975,1851508.7433068715,1622238.1772144053,1306140.634910702,1567895.290484389
2023-12-16 00:00:00+00:00,718558.3763145453,1874012.6395741804,1641955.3306159205,1322016.540884337,1586935.0424888448
2023-12-17 00:00:00+00:00,702706.827517431,1832671.404769759,1605733.3849117921,1292852.258631542,1551933.3419032325
2023-12-18 00:00:00+00:00,759745.5517660091,1981429.574612746,1736070.8988340185,1397793.6232003758,1677893.1123878607
2023-12-19 00:00:00+00:00,751970.9549655016,1961153.376268442,1718305.455741951,1383490.0048335856,1660718.5060012003
2023-12-20 00:00:00+00:00,795502.3324099279,2074684.285249412,1817777.8245239302,1463580.6575220807,1756840.3511843267
