symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,exit_date,exit_price,exit_fee,pnl,return_on_reserved,holding_days_actual,exit_reason,mode
EOSUSDT,2025-05-03 00:00:00+00:00,2025-05-04 00:00:00+00:00,2025-05-09 00:00:00+00:00,0.706353060427408,49022.97671617279,34662.157164364944,34.627529634730216,34662.15716436494,1.4839299625820173,0.02619437829420231,1.0,21.0,2025-05-09 00:00:00+00:00,0.85547205,41.9377863884866,7233.6914377331705,0.20869132303080948,5,scheduled,full
AIXBTUSDT,2025-05-05 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.15283777909718813,425679.6867802964,65124.99787222146,65.05993793428718,65124.99787222145,1.6513816882303345,0.10818449609588353,1.0,47.0,2025-05-11 00:00:00+00:00,0.2194902,93.43251958734461,28214.08919553581,0.43322979066952577,5,scheduled,full
SUIUSDT,2025-05-05 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-11 00:00:00+00:00,3.2334286095771536,20121.037384770116,65124.99787222145,65.05993793428716,65124.99787222145,1.9348183571702897,0.05709114599280739,1.0,5.0,2025-05-11 00:00:00+00:00,4.11923935,82.88336895816614,17675.48771698653,0.27140864943545534,5,scheduled,full
TAOUSDT,2025-05-05 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-11 00:00:00+00:00,357.84651692479605,181.8096162941275,65124.99787222146,65.05993793428718,65124.99787222145,2.2869002349890333,0.047621535342298585,1.0,15.0,2025-05-11 00:00:00+00:00,464.26775000000004,84.40834148523793,19198.935271531227,0.29480131898354167,5,scheduled,full
LTCUSDT,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,2025-05-12 00:00:00+00:00,88.76215638184472,468.7376716597209,41647.772680435846,41.60616651392193,41647.772680435846,1.4843938332049627,0.03147087938798743,1.0,16.0,2025-05-12 00:00:00+00:00,100.079935,46.91123571175621,5216.551795608611,0.12525404024929046,5,scheduled,full
SEIUSDT,2025-05-10 00:00:00+00:00,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.25933185136545284,118193.76337758775,30682.05888403665,30.651407476560088,30682.058884036647,2.013598953554453,0.05209560673178334,1.0,46.0,2025-05-16 00:00:00+00:00,0.23798095000000002,28.127864092673544,-2582.3226554557805,-0.08416392997665874,5,scheduled,full
BTCUSDT,2025-05-09 00:00:00+00:00,2025-05-12 00:00:00+00:00,2025-05-17 00:00:00+00:00,100756.37413969597,0.6092730951286941,61449.53607396331,61.38814792603728,61449.5360739633,1.9624618194122347,0.02175154377842888,1.0,1.0,2025-05-17 00:00:00+00:00,103412.16805,63.00625170179215,1493.7093761270444,0.024307903225325438,5,scheduled,full
PENGUUSDT,2025-05-09 00:00:00+00:00,2025-05-12 00:00:00+00:00,2025-05-17 00:00:00+00:00,0.012732728599830163,4796258.634613303,61130.52894861229,61.06945948912317,61130.528948612286,1.9522739588746336,0.12207977778846782,1.0,22.0,2025-05-17 00:00:00+00:00,0.0129265335,61.99899791499312,806.4699684658335,0.013192589403958382,5,scheduled,full
EOSUSDT,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,2025-05-17 00:00:00+00:00,0.8833347739591768,71938.26834306527,63609.119579842,63.545574005836166,63609.119579841994,1.8047015767318035,0.04770978451740481,1.0,26.0,2025-05-17 00:00:00+00:00,0.8410792500000001,60.50578478428409,-3163.8405803421992,-0.049738789048494145,5,scheduled,full
TAOUSDT,2025-05-11 00:00:00+00:00,2025-05-12 00:00:00+00:00,2025-05-17 00:00:00+00:00,436.2974967333521,136.19389792840698,59480.47779325816,59.421056736521635,59480.47779325814,1.6875648140910904,0.050290042631563135,1.0,19.0,2025-05-17 00:00:00+00:00,424.98740000000004,57.88069057645908,-1657.6679073755367,-0.02786910880469468,5,scheduled,full
